MESSPUNKT;JAHR;MONAT;ZEIT_VON;ZEIT_BIS;MESSWERT
1;2008;Januar;20080103;20080201;37
1;2008;Februar;20080201;20080229;55
1;2008;März;20080229;20080401;44
1;2008;April;20080401;20080430;53
1;2008;Mai;20080430;20080530;55
1;2008;Juni;20080530;20080701;49
1;2008;Juli;20080701;20080801;48
1;2008;August;20080801;20080902;46
1;2008;September;20080902;20081001;48
1;2008;Oktober;20081001;20081104;51
1;2008;November;20081104;20081203;47
1;2008;Dezember;20081203;20090104;50
1;2009;Januar;20090105;20090130;60
1;2009;Februar;20090130;20090228;50
1;2009;März;20090228;20090401;43
1;2009;April;20090401;20090501;48
1;2009;Mai;20090501;20090601;43
1;2009;Juni;20090601;20090629;45
1;2009;Juli;20090629;20090731;39
1;2009;August;20090731;20090831;45
1;2009;September;20090831;20090930;45
1;2009;Oktober;20090930;20091031;55
1;2009;November;20091031;20091202;45
1;2009;Dezember;20091202;20091229;45
1;2010;Januar;20091229;20100201;50
1;2010;Februar;20100201;20100303;48
1;2010;März;20100303;20100331;49
1;2010;April;20100331;20100430;42
1;2010;Mai;20100430;20100602;44
1;2010;Juni;20100602;20100630;42
1;2010;Juli;20100630;20100803;43
1;2010;August;20100803;20100901;41
1;2010;September;20100901;20101001;43
1;2010;Oktober;20101001;20101102;42
1;2010;November;20101102;20101129;49
1;2010;Dezember;20101129;20101230;53
1;2011;Januar;20101230;20110201;48
1;2011;Februar;20110201;20110301;41
1;2011;März;20110301;20110330;47
1;2011;April;20110330;20110429;48
1;2011;Mai;20110429;20110531;44
1;2011;Juni;20110531;20110630;38
1;2011;Juli;20110630;20110801;36
1;2011;August;20110801;20110901;37
1;2011;September;20110901;20110929;35
1;2011;Oktober;20110929;20111102;42
1;2011;November;20111102;20111130;45
1;2011;Dezember;20111130;20111229;29
1;2012;Januar;20111229;20120201;38
1;2012;Februar;20120201;20120301;49
1;2012;März;20120301;20120330;47
1;2012;April;20120330;20120503;36
1;2012;Mai;20120503;20120601;39
1;2012;Juni;20120601;20120703;34
1;2012;Juli;20120703;20120801;38
1;2012;August;20120801;20120831;37
1;2012;September;20120831;20121001;44
1;2012;Oktober;20121001;20121102;32
1;2012;November;20121102;20121130;42
1;2012;Dezember;20121130;20121228;46
1;2013;Januar;20121228;20130201;41
1;2013;Februar;20130201;20130301;44
1;2013;März;20130301;20130402;44
1;2013;April;20130402;20130502;34
1;2013;Mai;20130502;20130531;35
1;2013;Juni;20130531;20130702;38
1;2013;Juli;20130702;20130802;44
1;2013;August;20130802;20130830;39
1;2013;September;20130830;20131001;38
1;2013;Oktober;20131001;20131031;35
1;2013;November;20131031;20131129;43
1;2013;Dezember;20131129;20131231;37
1;2014;Januar;20131231;20140130;32
1;2014;Februar;20140130;20140228;33
1;2014;März;20140228;20140331;46
1;2014;April;20140331;20140501;42
1;2014;Mai;20140501;20140602;37
1;2014;Juni;20140602;20140702;33
1;2014;Juli;20140702;20140731;36
1;2014;August;20140731;20140829;32
1;2014;September;20140829;20140930;40
1;2014;Oktober;20140930;20141031;39
1;2014;November;20141031;20141128;41
1;2014;Dezember;20141128;20141230;40
1;2015;Januar;20141230;20150130;41
1;2015;Februar;20150130;20150302;42
1;2015;März;20150302;20150331;42
1;2015;April;20150331;20150430;39
1;2015;Mai;20150430;20150601;37
1;2015;Juni;20150601;20150629;33
1;2015;Juli;20150629;20150731;30
1;2015;August;20150731;20150902;43
1;2015;September;20150902;20150930;35
1;2015;Oktober;20150930;20151029;44
1;2015;November;20151029;20151202;35
1;2015;Dezember;20151202;20151230;38
1;2016;Januar;20151230;20160201;39
1;2016;Februar;20160201;20160301;38
1;2016;März;20160301;20160331;47
1;2016;April;20160331;20160428;34
1;2016;Mai;20160428;20160530;36
1;2016;Juni;20160530;20160629;34
1;2016;Juli;20160629;20160729;30
1;2016;August;20160729;20160830;34
1;2016;September;20160830;20160929;43
1;2016;Oktober;20160929;20161031;36
1;2016;November;20161031;20161129;41
1;2016;Dezember;20161129;20161230;46
1;2017;Januar;20161230;20170131;50
1;2017;Februar;20170131;20170302;42
1;2017;März;20170302;20170330;35
1;2017;April;20170330;20170502;34
1;2017;Mai;20170502;20170601;35
1;2017;Juni;20170601;20170629;30
1;2017;Juli;20170629;20170731;23
1;2017;August;20170731;20170830;33
1;2017;September;20170830;20170929;30
1;2017;Oktober;20170929;20171030;29
1;2017;November;20171030;20171129;34
1;2017;Dezember;20171129;20171229;34
1;2018;Januar;20171229;20180129;29
1;2018;Februar;20180129;20180228;36
1;2018;März;20180228;20180329;34
1;2018;April;20180329;20180427;30
1;2018;Mai;20180427;20180529;31
1;2018;Juni;20180529;20180629;28
1;2018;Juli;20180629;20180730;31
1;2018;August;20180730;20180831;27
1;2018;September;20180831;20181002;35
1;2018;Oktober;20181002;20181101;35
1;2018;November;20181101;20181201;32
1;2018;Dezember;20181201;20190102;29
1;2019;Januar;20190102;20190131;35
1;2019;Februar;20190131;20190301;39
1;2019;März;20190301;20190330;25
1;2019;April;20190330;20190429;27
1;2019;Mai;20190429;20190531;25
1;2019;Juni;20190531;20190701;23
1;2019;Juli;20190701;20190801;27
1;2019;August;20190801;20190830;27
1;2019;September;20190830;20190928;27
1;2019;Oktober;20190928;20191029;23
1;2019;November;20191029;20191129;33
1;2019;Dezember;20191129;20191227;29
1;2020;Januar;20191230;20200131;26
1;2020;Februar;20200131;20200303;20
1;2020;März;20200303;20200329;23
1;2020;April;20200329;20200502;24
1;2020;Mai;20200502;20200531;24
1;2020;Juni;20200531;20200705;19
1;2020;Juli;20200705;20200802;19
1;2020;August;20200802;20200906;21
1;2020;September;20200906;20201003;25
1;2020;Oktober;20201003;20201101;21
1;2020;November;20201101;20201128;25
1;2020;Dezember;20201128;20210103;23
1;2021;Januar;20210104;20210202;26
1;2021;Februar;20210202;20210302;28
1;2021;März;20210302;20210330;29
1;2021;April;20210331;20210430;25
1;2021;Mai;20210501;20210531;17
1;2021;Juni;20210601;20210629;19
1;2021;Juli;20210630;20210729;17
1;2021;August;20210730;20210827;17
1;2021;September;20210828;20210928;23
1;2021;Oktober;20210929;20211027;23
1;2021;November;20211028;20211127;29
1;2021;Dezember;20211128;20211229;28
1;2022;Januar;20211229;20220129;27
1;2022;Februar;20220129;20220302;21
1;2022;März;20220302;20220331;30
1;2022;April;20220331;20220502;24
1;2022;Mai;20220502;20220601;21
1;2022;Juni;20220601;20220702;22
2;2008;Januar;20080103;20080201;60
2;2008;Februar;20080201;20080229;79
